scenario;location;years;n_years;battery_cost_factor;allow_grid_buy;battery_allowed;solver_status;pv_capacity_kW;battery_energy_kWh;battery_power_kW;used_capex_EUR;budget_EUR;total_profit_EUR;average_annual_profit_EUR;total_revenue_EUR;total_purchase_cost_EUR;pv_available_MWh;pv_generation_MWh;curtailed_MWh;sold_MWh;grid_buy_MWh;charge_MWh;discharge_MWh
PV_only;Stuttgart;2015-2024;10;1.0;False;False;('ok', 'optimal');12500.0;0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
PV_battery_sell_only;Stuttgart;2015-2024;10;1.0;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
PV_battery_grid_buy;Stuttgart;2015-2024;10;1.0;True;True;('ok', 'optimal');12500.0;0.0;0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
PV_only;Duesseldorf;2015-2024;10;1.0;False;False;('ok', 'optimal');12500.0;0.0;-0.0;10000000.0;10000000.0;33.081.452.589.521;33.081.452.589.521;10.403.390.988.874.900;0.0;1.346.770.875;1.305.177.625;4.159.324.999.999.990;1.305.177.625;0.0;0.0;0.0
PV_battery_sell_only;Duesseldorf;2015-2024;10;1.0;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;33.081.452.589.521;33.081.452.589.521;10.403.390.988.874.900;0.0;1.346.770.875;1.305.177.625;4.159.324.999.999.990;1.305.177.625;0.0;0.0;0.0
PV_battery_grid_buy;Duesseldorf;2015-2024;10;1.0;True;True;('ok', 'optimal');12500.0;0.0;0.0;10000000.0;10000000.0;33.081.452.589.521;33.081.452.589.521;10.403.390.988.874.900;0.0;1.346.770.875;1.305.177.625;4.159.324.999.999.990;1.305.177.625;0.0;0.0;0.0
PV_only;Schleswig-Holstein;2015-2024;10;1.0;False;False;('ok', 'optimal');12500.0;0.0;-0.0;10000000.0;10000000.0;28.225.085.548.270.900;282.250.855.482.709;991.775.428.475;0.0;129.770.175;1.257.778.125;3.992.362.500.000.000;1.257.778.125;0.0;0.0;0.0
PV_battery_sell_only;Schleswig-Holstein;2015-2024;10;1.0;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;28.225.085.548.270.900;282.250.855.482.709;991.775.428.475;0.0;129.770.175;1.257.778.125;3.992.362.500.000.000;1.257.778.125;0.0;0.0;0.0
PV_battery_grid_buy;Schleswig-Holstein;2015-2024;10;1.0;True;True;('ok', 'optimal');12500.0;0.0;0.0;10000000.0;10000000.0;28.225.085.548.270.900;282.250.855.482.709;991.775.428.475;0.0;129.770.175;1.257.778.125;3.992.362.500.000.000;1.257.778.125;0.0;0.0;0.0
battery_cost_sensitivity_sell_only;Stuttgart;2015-2024;10;1.0;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
battery_cost_sensitivity_sell_only;Stuttgart;2015-2024;10;0.75;False;True;('ok', 'optimal');12500.0;0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
battery_cost_sensitivity_sell_only;Stuttgart;2015-2024;10;0.5;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
battery_cost_sensitivity_sell_only;Stuttgart;2015-2024;10;0.25;False;True;('ok', 'optimal');12500.0;-0.0;-0.0;10000000.0;10000000.0;4.308.317.463.202.130;4.308.317.463.202.130;11.403.563.193.125;0.0;146422.1;1.419.205.125;4.501.587.499.999.990;1.419.205.125;0.0;0.0;0.0
battery_cost_sensitivity_sell_only;Stuttgart;2015-2024;10;0.1;False;True;('ok', 'optimal');11.328.500.953.562.400;26.969.762.220.146.000;12.810.637.054.569.300;10000000.0;10000000.0;4.932.362.562.650.040;4.932.362.562.650.040;12.420.041.286.051.900;0.0;1.326.994.319.578.080;1.317.997.677.260.800;899.664.231.728.093;12.547.705.804.381.100;0.0;6.484.830.443.352.500;5.852.559.475.125.630
