time;price_EUR_per_MWh;pv_cf;q_sell_kWh;pv_to_grid_kWh;charge_pv_kWh;charge_grid_kWh;discharge_kWh;soc_kWh;curtailment_kWh
2015-01-01 00:00:00;44,94;0,0;10614,525139664802;-0,0;0,0;0,0;10614,525139664802;-0,0;0,0
2015-01-01 01:00:00;43,43;0,0;-0,0;-0,0;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 02:00:00;38,08;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 03:00:00;35,47;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 04:00:00;30,83;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 05:00:00;28,26;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 06:00:00;25,36;0,0;-0,0;0,0;-0,0;-0,0;0,0;0,0;0,0
2015-01-01 07:00:00;26,93;0,004;44,6927374301676;44,6927374301676;0,0;0,0;-0,0;0,0;0,0
2015-01-01 08:00:00;24,95;0,06;670,3910614525139;670,3910614525139;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 09:00:00;26,71;0,142;1586,5921787709494;1586,5921787709494;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 10:00:00;30,04;0,192;2145,2513966480446;2145,2513966480446;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 11:00:00;31,77;0,188;2100,558659217877;2100,558659217877;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 12:00:00;35,09;0,153;1709,4972067039105;1709,4972067039105;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 13:00:00;35,39;0,105;1173,1843575418993;1173,1843575418993;0,0;0,0;-0,0;0,0;0,0
2015-01-01 14:00:00;31,47;0,045;502,7932960893854;502,7932960893854;-0,0;0,0;0,0;-0,0;0,0
2015-01-01 15:00:00;29,08;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 16:00:00;31,03;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 17:00:00;39,09;0,0;-0,0;0,0;-0,0;-0,0;0,0;-0,0;0,0
2015-01-01 18:00:00;47,82;0,0;-0,0;-0,0;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 19:00:00;50,75;0,0;-0,0;-0,0;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 20:00:00;49,3;0,0;-0,0;-0,0;0,0;0,0;0,0;-0,0;0,0
2015-01-01 21:00:00;48,24;0,0;-0,0;-0,0;0,0;0,0;0,0;0,0;0,0
2015-01-01 22:00:00;49,04;0,0;-0,0;-0,0;0,0;0,0;-0,0;-0,0;0,0
2015-01-01 23:00:00;46,14;0,0;-0,0;-0,0;0,0;0,0;0,0;-0,0;0,0
