location;years;scenario;grid_limit_scenario;grid_limit_kW;battery_cost_factor;solver_status;pv_capacity_kW;battery_energy_capacity_kWh;battery_power_capacity_kW;used_capex_EUR;budget_EUR;total_profit_EUR;average_annual_profit_EUR;return_on_capex_per_year;operating_cashflow_total_EUR;average_annual_operating_cashflow_EUR;simple_payback_years;discounted_payback_years;npv_12y_EUR;npv_25y_EUR;revenue_EUR;grid_purchase_cost_EUR;degradation_cost_EUR;pv_available_MWh;electricity_sold_MWh;grid_buy_MWh;battery_charge_from_pv_MWh;battery_discharge_MWh;curtailment_MWh;curtailment_share;battery_cycles_per_year;pv_only_total_profit_EUR;pv_only_average_annual_profit_EUR;pv_only_curtailment_MWh;pv_only_electricity_sold_MWh;profit_gain_vs_pv_only_EUR;average_annual_profit_gain_vs_pv_only_EUR;curtailment_reduction_vs_pv_only_MWh;additional_sold_energy_vs_pv_only_MWh
Stuttgart;2015-2024;PV_only;no_limit;;1,0;('ok', 'optimal');-0,0;0,0;0,0;0,0;10000000,0;0,0;0,0;;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Stuttgart;2015-2024;PV_only;weak_limit_12_5MW;12500,0;1,0;('ok', 'optimal');-0,0;0,0;0,0;0,0;10000000,0;0,0;0,0;;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Stuttgart;2015-2024;PV_only;light_limit_10MW;10000,0;1,0;('ok', 'optimal');-0,0;0,0;0,0;0,0;10000000,0;0,0;0,0;;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Stuttgart;2015-2024;PV_only;medium_limit_7_5MW;7500,0;1,0;('ok', 'optimal');-0,0;0,0;0,0;0,0;10000000,0;0,0;0,0;;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Stuttgart;2015-2024;PV_battery_no_grid_buy;no_limit;;1,0;('ok', 'optimal');11173,184357541899;0,0;10614,525139664802;10000000,0;10000000,0;2653898,8886747207;265389,88886747207;0,026538988886747206;10193606,12793296;1019360,612793296;9,810071013630365;13,824637603843296;-965150,3805283532;4366811,9695181325;10193606,12793296;0,0;0,0;130880,08938547484;127005,50002793294;0,0;153,53072625698323;149,17600558659217;3870,234636871508;0,029570843472399317;0,0;0,0;0,0;0,0;0,0;2653898,8886747207;265389,88886747207;-3870,234636871508;127005,50002793294
Stuttgart;2015-2024;PV_battery_no_grid_buy;weak_limit_12_5MW;12500,0;1,0;('ok', 'optimal');11173,184357541899;-0,0;10614,525139664802;10000000,0;10000000,0;2653898,8886747207;265389,88886747207;0,026538988886747206;10193606,12793296;1019360,612793296;9,810071013630365;13,824637603843296;-965150,3805283532;4366811,9695181325;10193606,12793296;0,0;0,0;130880,08938547484;127061,09201117317;0,0;215,1284916201117;204,7679888268156;3808,6368715083795;0,029100200721066016;0,0;0,0;0,0;0,0;0,0;2653898,8886747207;265389,88886747207;-3808,6368715083795;127061,09201117317
Stuttgart;2015-2024;PV_battery_no_grid_buy;light_limit_10MW;10000,0;1,0;('ok', 'optimal');11052,631578947368;526,3157894736839;10000,0;10000000,0;10000000,0;2564563,7663584435;256456,37663584435;0,025645637663584436;10144654,212005015;1014465,4212005015;9,857408435041744;13,918362460331668;-1008537,6954239197;4297819,410569118;10144654,212005015;0,0;0,0;129467,96210526314;125537,00384563711;0,0;2694,5809141274226;2442,359274999999;3678,7366204986147;0,02841426219026789;464,04826225000005;0,0;0,0;0,0;0,0;2564563,7663584435;256456,37663584435;-3678,7366204986147;125537,00384563711
Stuttgart;2015-2024;PV_battery_no_grid_buy;medium_limit_7_5MW;7500,0;1,0;('ok', 'optimal');10562,200956937799;2667,464114832537;7500,0;10000000,0;10000000,0;2176470,004220188;217647,0004220188;0,021764700042201882;9920846,675855799;992084,6675855799;10,079784847735663;14,376585174134048;-1206903,9465263318;3982386,3097741064;9920846,675855799;0,0;0,0;123723,17157894737;119544,97689472201;0,0;10531,631606151179;9514,831615460529;3161,3946935347058;0,025552163375616586;356,69951706390134;0,0;0,0;0,0;0,0;2176470,004220188;217647,0004220188;-3161,3946935347058;119544,97689472201
Stuttgart;2015-2024;PV_battery_grid_buy;no_limit;;1,0;('ok', 'optimal');11173,184357541899;0,0;10614,525139664802;10000000,0;10000000,0;2667619,9939540247;266761,9993954025;0,02667619993954025;10207327,23321229;1020732,723321229;9,796883916352074;13,798528053237122;-952989,0196462628;4386150,419237306;10066597,948296089;-140729,28491620108;0,0;130880,08938547484;136176,7453631285;10158,100558659216;157,47486033519553;9320,42134078212;3866,2905027932957;0,029540707994216722;0,0;0,0;0,0;0,0;0,0;2667619,9939540247;266761,9993954025;-3866,2905027932957;136176,7453631285
Stuttgart;2015-2024;PV_battery_grid_buy;weak_limit_12_5MW;12500,0;1,0;('ok', 'optimal');11173,184357541899;0,0;10614,525139664802;10000000,0;10000000,0;2667619,9939540247;266761,9993954025;0,02667619993954025;10207327,23321229;1020732,723321229;9,796883916352074;13,798528053237122;-952989,0196462628;4386150,419237306;10066597,948296089;-140729,28491620108;0,0;130880,08938547484;136243,14717877092;10158,100558659216;231,0502793296089;9386,823156424578;3792,7150837988825;0,028978549003190093;0,0;0,0;0,0;0,0;0,0;2667619,9939540247;266761,9993954025;-3792,7150837988825;136243,14717877092
